,N,Должность,Язык.программирования,Специализация,Общий.опыт.работы,Опыт.работы.на.текущем.месте,Зарплата.в.месяц,Изменение.зарплаты.за.12.месяцев,Город,Размер.компании,Тип.компании,Пол,Возраст,Образование,Университет,Еще.студент,Уровень.английского,Предметная.область,Дата.заполнения,User.Agent,exp,current_job_exp,salary,Валюта,cls,avg
12,13,Software Engineer,Python,,1,меньше 3 месяцев,800,200,Киев,до 50 человек,Аутсорсинговая,мужской,26,Высшее,НТУУ «КПИ»,False,ниже среднего,"Веб-разработка,Другое",12/06/2017 13:05:54,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,0.0,800,,DEV,1799.07
68,69,Software Engineer,Python,,1.5,0.5,900,900,Киев,до 10 человек,Стартап,мужской,21,Незаконченное высшее,КНУ им. Шевченко,True,выше среднего,Веб-разработка,12/06/2017 13:11:17,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",1.5,0.5,900,,DEV,1799.07
87,88,Junior Software Engineer,Python,,0.5,0.5,600,0,Киев,до 10 человек,Аутсорсинговая,мужской,19,Незаконченное высшее,НТУУ «КПИ»,True,выше среднего,"Веб-разработка,eCommerce",12/06/2017 13:12:25,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",0.5,0.5,600,,DEV,560.8412698412699
114,115,Junior Software Engineer,Python,,1.5,0.5,685,250,Киев,до 1000 человек,Аутсорсинговая,мужской,21,Незаконченное высшее,НТУУ «КПИ»,False,средний,Другое,12/06/2017 13:14:52,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",1.5,0.5,685,,DEV,560.8412698412699
143,144,Junior Software Engineer,Python,,1,1,750,250,Киев,до 10 человек,Аутсорсинговая,мужской,21,Незаконченное высшее,НТУУ «КПИ»,True,выше среднего,Веб-разработка,12/06/2017 13:19:10,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,1.0,750,,DEV,560.8412698412699
153,154,Software Engineer,Python,,2,1,1200,0,Днепр,до 50 человек,Аутстаффинговая,мужской,34,Кандидат,Другой вуз,False,продвинутый,"Веб-разработка,Мультимедиа",12/06/2017 13:20:15,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 OPR/45.0.2552.888",2.0,1.0,1200,,DEV,1799.07
162,163,Junior Software Engineer,Python,,0.5,0.5,500,0,Винница,до 200 человек,Аутсорсинговая,мужской,20,Техникум / Колледж,,True,ниже среднего,Веб-разработка,12/06/2017 13:21:08,"Mozilla/5.0 (Linux; Android 7.1.2; LG-D802 Build/N2G47E) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",0.5,0.5,500,,DEV,560.8412698412699
171,172,Junior Software Engineer,Python,,0.25,0.25,800,0,Киев,до 50 человек,Продуктовая,мужской,25,Высшее,НАУ,False,продвинутый,Телекоммуникации,12/06/2017 13:22:31,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.25,0.25,800,,DEV,560.8412698412699
217,218,Software Engineer,Python,,8,2,2900,150,Львов,до 1000 человек,Аутсорсинговая,мужской,26,Высшее,ГУТ,False,выше среднего,"Веб-разработка,Корпоративные системы",12/06/2017 13:31:50,"Mozilla/5.0 (Windows NT 6.2; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",8.0,2.0,2900,,DEV,1799.07
283,284,Junior Software Engineer,Python,,1,меньше 3 месяцев,400,400,Харьков,до 10 человек,Стартап,мужской,23,Незаконченное высшее,ХНУРЭ,False,средний,Веб-разработка,12/06/2017 13:43:33,"Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,0.0,400,,DEV,560.8412698412699
302,303,Senior Software Engineer,Python,,10 и более лет,0.5,3500,-300,Киев,до 200 человек,Продуктовая,мужской,30,Высшее,НТУУ «КПИ»,False,выше среднего,"Веб-разработка,Gamedev",12/06/2017 13:46:24,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",10.0,0.5,3500,,DEV,3387.0967741935483
332,333,Junior Software Engineer,Python,,1,1,600,300,Львов,до 50 человек,Аутсорсинговая,мужской,19,Незаконченное высшее,Львовская Политехника,True,ниже среднего,Веб-разработка,12/06/2017 13:51:25,Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:53.0) Gecko/20100101 Firefox/53.0,1.0,1.0,600,,DEV,560.8412698412699
347,348,Junior Software Engineer,Python,,меньше 3 месяцев,меньше 3 месяцев,200,0,Киев,до 10 человек,Аутсорсинговая,мужской,22,Незаконченное высшее,КНУСА,True,ниже среднего,Веб-разработка,12/06/2017 13:53:40,"Mozilla/5.0 (Linux; Android 5.1.1; Mi-4c Build/LMY47V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",0.0,0.0,200,,DEV,560.8412698412699
373,374,Senior Software Engineer,Python,,7,0.5,3100,1000,Днепр,до 200 человек,Аутсорсинговая,мужской,30,Высшее,ДНУ им. Гончара,False,выше среднего,"Веб-разработка,Корпоративные системы",12/06/2017 13:58:16,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",7.0,0.5,3100,,DEV,3387.0967741935483
